Key,en,es,ar,fr,hi
Money Out request rejected successfully,Money Out request rejected successfully,Solicitud de retiro de dinero rechazada exitosamente,تم رفض طلب صرف الأموال بنجاح,Demande de retrait d'argent rejetée avec succès,मनी आउट अनुरोध सफलतापूर्वक अस्वीकार कर दिया गया
Newsletter Section,Newsletter Section,Sección de boletín,قسم النشرة الإخبارية,Section Bulletin,न्यूज़लैटर अनुभाग
Selected payment newsletter is invalid!,Selected payment newsletter is invalid!,¡El boletín de pago seleccionado no es válido!,النشرة الإخبارية للدفعة المحددة غير صالحة!,La newsletter de paiement sélectionnée n'est pas valide !,चयनित भुगतान न्यूज़लेटर अमान्य है!
Newsletter deleted successfully!,Newsletter deleted successfully!,¡Boletín eliminado con éxito!,تم حذف النشرة الإخبارية بنجاح!,Newsletter supprimée avec succès !,न्यूज़लेटर सफलतापूर्वक हटा दिया गया!
Payment gateway currency not found!,Payment gateway currency not found!,¡No se encontró la moneda de la pasarela de pago!,لم يتم العثور على عملة بوابة الدفع!,Devise de la passerelle de paiement introuvable !,भुगतान गेटवे मुद्रा नहीं मिली!
Payment gateway currency deleted successfully!,Payment gateway currency deleted successfully!,¡La moneda de la pasarela de pago se eliminó correctamente!,تم حذف عملة بوابة الدفع بنجاح!,La devise de la passerelle de paiement a été supprimée avec succès !,भुगतान गेटवे मुद्रा सफलतापूर्वक हटा दी गई!
Automatic Add Money,Automatic Add Money,Agregar dinero automáticamente,إضافة الأموال تلقائيًا,Ajouter de l'argent automatiquement,स्वचालित धन जोड़ें
Manual Add Money,Manual Add Money,Agregar dinero manualmente,دليل إضافة المال,Ajouter de l'argent manuellement,मैनुअल पैसे जोड़ें
Automatic Money Out,Automatic Money Out,Salida automática de dinero,إخراج الأموال تلقائيًا,Retrait automatique de l'argent,स्वचालित पैसा बाहर
Manual Add Money Edit,Manual Add Money Edit,Agregar dinero manualmente Editar,تحرير إضافة الأموال يدويًا,Ajouter de l'argent manuellement Modifier,मैन्युअल रूप से धन जोड़ें संपादन
Money Out Edit,Money Out Edit,Salida de dinero Editar,تحرير الأموال,Argent sortant Modifier,मनी आउट संपादित करें
Payment gateway added successfully!,Payment gateway added successfully!,¡Pasarela de pago agregada exitosamente!,تمت إضافة بوابة الدفع بنجاح!,Passerelle de paiement ajoutée avec succès !,भुगतान गेटवे सफलतापूर्वक जोड़ा गया!
Payment gateway status updated successfully!,Payment gateway status updated successfully!,¡El estado de la pasarela de pago se actualizó correctamente!,تم تحديث حالة بوابة الدفع بنجاح!,Statut de la passerelle de paiement mis à jour avec succès !,भुगतान गेटवे स्थिति सफलतापूर्वक अपडेट की गई!
Selected payment gateway is invalid!,Selected payment gateway is invalid!,¡La pasarela de pago seleccionada no es válida!,بوابة الدفع المحددة غير صالحة!,La passerelle de paiement sélectionnée n'est pas valide !,चयनित भुगतान गेटवे अमान्य है!
Information updated successfully!,Information updated successfully!,¡Información actualizada exitosamente!,تم تحديث المعلومات بنجاح!,Informations mises à jour avec succès !,जानकारी सफलतापूर्वक अपडेट की गई!
Image upload failed! Please try again.,Image upload failed! Please try again.,¡La carga de la imagen falló! Por favor inténtalo de nuevo.,فشل تحميل الصورة! يرجى المحاولة مرة أخرى.,Le téléchargement de l'image a échoué ! Veuillez réessayer.,छवि अपलोड विफल! कृपया पुन: प्रयास करें।
Oops! Payment gateway not found!,Oops! Payment gateway not found!,¡Ups! ¡Pasarela de pago no encontrada!,أُووبس! بوابة الدفع غير موجودة!,Oups ! Passerelle de paiement introuvable !,उफ़! भुगतान गेटवे नहीं मिला!
Money Out Add,Money Out Add,Añadir salida de dinero,إضافة الأموال,Argent sortant Ajouter,मनी आउट ऐड
The gateway name has already been taken.,The gateway name has already been taken.,El nombre de la puerta de enlace ya ha sido tomado.,لقد تم بالفعل أخذ اسم البوابة.,Le nom de la passerelle a déjà été pris.,गेटवे का नाम पहले ही लिया जा चुका है.
Payment gateway deleted successfully!,Payment gateway deleted successfully!,¡Pasarela de pago eliminada con éxito!,تم حذف بوابة الدفع بنجاح!,Passerelle de paiement supprimée avec succès !,भुगतान गेटवे सफलतापूर्वक हटा दिया गया!
Payment Link details,Payment Link details,Detalles del enlace de pago,تفاصيل رابط الدفع,Détails du lien de paiement,भुगतान लिंक विवरण
Password updated successfully!,Password updated successfully!,¡Contraseña actualizada exitosamente!,تم تحديث كلمة المرور بنجاح!,Mot de passe mis à jour avec succès !,पासवर्ड सफलतापूर्वक अद्यतन!
All Profits Logs,All Profits Logs,Todos los registros de ganancias,جميع سجلات الأرباح,Tous les journaux de bénéfices,सभी लाभ लॉग
Oops! Basic settings not found!,Oops! Basic settings not found!,¡Ups! ¡No se encontraron configuraciones básicas!,أُووبس! لم يتم العثور على الإعدادات الأساسية!,Oups ! Paramètres de base introuvables !,उफ़! बुनियादी सेटिंग्स नहीं मिलीं!
Sorry! You have to configure first to send push notification.,Sorry! You have to configure first to send push notification.,¡Lo siento! Primero debe configurar para enviar notificaciones automáticas.,آسف! يجب عليك التهيئة أولاً لإرسال إشعار الدفع.,Désolé! Vous devez d'abord configurer pour envoyer une notification push.,क्षमा मांगना! पुश नोटिफिकेशन भेजने के लिए आपको पहले कॉन्फ़िगर करना होगा।
Please configure your push notification with valid credentials.,Please configure your push notification with valid credentials.,Configure su notificación push con credenciales válidas.,يرجى تكوين إشعار الدفع الخاص بك ببيانات اعتماد صالحة.,Veuillez configurer votre notification push avec des informations d'identification valides.,कृपया अपने पुश नोटिफिकेशन को वैध क्रेडेंशियल्स के साथ कॉन्फ़िगर करें।
Oops! Failed to store information.,Oops! Failed to store information.,¡Ups! No se pudo almacenar la información.,أُووبس! فشل في تخزين المعلومات.,Oups ! Échec du stockage des informations.,उफ़! जानकारी संग्रहीत करने में विफल.
Notification sended successfully!,Notification sended successfully!,¡Notificación enviada exitosamente!,تم إرسال الإخطار بنجاح!,Notification envoyée avec succès !,अधिसूचना सफलतापूर्वक भेजी गई!
Oops! Basic setting not found!,Oops! Basic setting not found!,¡Ups! ¡Configuración básica no encontrada!,أُووبس! لم يتم العثور على الإعداد الأساسي!,Oups ! Paramètre de base introuvable !,उफ़! मूल सेटिंग नहीं मिली!
Push notification configuration updated successfully!,Push notification configuration updated successfully!,¡La configuración de notificaciones push se actualizó correctamente!,تم تحديث تكوين إشعار الدفع بنجاح!,Configuration des notifications push mise à jour avec succès !,पुश अधिसूचना कॉन्फ़िगरेशन सफलतापूर्वक अपडेट किया गया!
Receiver Countries,Receiver Countries,Países receptores,الدول المستقبلة,Pays récepteurs,प्राप्तकर्ता देश
Country Saved Successfully!,Country Saved Successfully!,¡País salvado con éxito!,تم حفظ البلد بنجاح!,Pays enregistré avec succès !,देश को सफलतापूर्वक बचाया गया!
Country not found!,Country not found!,¡País no encontrado!,لم يتم العثور على البلد!,Pays introuvable !,देश नहीं मिला!
Country deleted successfully!,Country deleted successfully!,¡País eliminado correctamente!,تم حذف البلد بنجاح!,Pays supprimé avec succès !,देश सफलतापूर्वक हटा दिया गया!
Country record not found in our system.,Country record not found in our system.,Registro de país no encontrado en nuestro sistema.,سجل الدولة غير موجود في نظامنا.,Enregistrement de pays introuvable dans notre système.,हमारे सिस्टम में देश का रिकॉर्ड नहीं मिला.
Country status updated successfully!,Country status updated successfully!,¡El estado del país se actualizó exitosamente!,تم تحديث حالة البلد بنجاح!,Statut du pays mis à jour avec succès !,देश की स्थिति सफलतापूर्वक अपडेट की गई!
Bank Deposit Type,Bank Deposit Type,Tipo de depósito bancario,نوع الإيداع البنكي,Type de dépôt bancaire,बैंक जमा प्रकार
Bank Already Exists!,Bank Already Exists!,¡El banco ya existe!,البنك موجود بالفعل!,La banque existe déjà !,बैंक पहले से मौजूद है!
Bank Saved Successfully!,Bank Saved Successfully!,¡Banco guardado con éxito!,تم حفظ البنك بنجاح!,Banque enregistrée avec succès !,बैंक सफलतापूर्वक सहेजा गया!
Bank Updated Successfully!,Bank Updated Successfully!,¡Banco actualizado con éxito!,تم تحديث البنك بنجاح!,Banque mise à jour avec succès !,बैंक सफलतापूर्वक अपडेट हो गया!
Bank record not found in our system.,Bank record not found in our system.,Registro bancario no encontrado en nuestro sistema.,السجل البنكي غير موجود في نظامنا.,Relevé bancaire introuvable dans notre système.,हमारे सिस्टम में बैंक रिकॉर्ड नहीं मिला.
Bank status updated successfully!,Bank status updated successfully!,¡El estado del banco se actualizó exitosamente!,تم تحديث حالة البنك بنجاح!,Statut bancaire mis à jour avec succès !,बैंक की स्थिति सफलतापूर्वक अपडेट की गई!
Bank deleted successfully!,Bank deleted successfully!,¡Banco eliminado exitosamente!,تم حذف البنك بنجاح!,Banque supprimée avec succès !,बैंक सफलतापूर्वक हटा दिया गया!
Cash Pickup Already Exists!,Cash Pickup Already Exists!,¡El retiro en ventanilla ya existe!,الالتقاط النقدي موجود بالفعل!,Le retrait d’espèces existe déjà !,नकद संग्रहण पहले से ही मौजूद है!
Cash Pickup Saved Successfully!,Cash Pickup Saved Successfully!,¡Recogida en ventanilla guardada correctamente!,تم حفظ عملية الاستلام النقدي بنجاح!,Collecte d'espèces enregistrée avec succès !,कैश पिकअप सफलतापूर्वक सहेजा गया!
Cash Pickup Updated Successfully!,Cash Pickup Updated Successfully!,¡Recogida en ventanilla actualizada con éxito!,تم تحديث عملية الاستلام النقدي بنجاح!,Le retrait d'espèces a été mis à jour avec succès !,कैश पिकअप सफलतापूर्वक अपडेट किया गया!
Cash Pickup record not found in our system.,Cash Pickup record not found in our system.,Registro de retiro de ventanilla no encontrado en nuestro sistema.,سجل الاستلام النقدي غير موجود في نظامنا.,Enregistrement de retrait d'espèces introuvable dans notre système.,हमारे सिस्टम में कैश पिकअप रिकॉर्ड नहीं मिला।
Cash Pickup deleted successfully!,Cash Pickup deleted successfully!,¡El retiro en ventanilla se eliminó correctamente!,تم حذف عملية الاستلام النقدي بنجاح!,Le retrait d'espèces a été supprimé avec succès !,कैश पिकअप सफलतापूर्वक हटा दिया गया!
Remittance details for,Remittance details for,Detalles de remesa para,تفاصيل التحويل ل,Détails du versement pour,के लिए प्रेषण विवरण
Remittance request approved successfully,Remittance request approved successfully,Solicitud de remesa aprobada exitosamente,تمت الموافقة على طلب التحويل بنجاح,Demande de versement approuvée avec succès,प्रेषण अनुरोध सफलतापूर्वक स्वीकृत
Remittance request rejected successfully,Remittance request rejected successfully,Solicitud de remesa rechazada exitosamente,تم رفض طلب التحويل بنجاح,Demande de versement rejetée avec succès,प्रेषण अनुरोध सफलतापूर्वक अस्वीकार कर दिया गया
Server Information,Server Information,Información del servidor,معلومات الخادم,Informations sur le serveur,सर्वर जानकारी
Bill Pay Category,Bill Pay Category,Categoría de pago de facturas,فئة دفع الفاتورة,Catégorie de paiement de factures,बिल भुगतान श्रेणी
Category Already Exists!,Category Already Exists!,¡La categoría ya existe!,الفئة موجودة بالفعل!,La catégorie existe déjà !,श्रेणी पहले से मौजूद है!
Category Saved Successfully!,Category Saved Successfully!,¡Categoría guardada exitosamente!,تم حفظ الفئة بنجاح!,Catégorie enregistrée avec succès !,श्रेणी सफलतापूर्वक सहेजी गई!
Category Updated Successfully!,Category Updated Successfully!,¡Categoría actualizada con éxito!,تم تحديث الفئة بنجاح!,Catégorie mise à jour avec succès !,श्रेणी सफलतापूर्वक अपडेट की गई!
Category record not found in our system.,Category record not found in our system.,Registro de categoría no encontrado en nuestro sistema.,لم يتم العثور على سجل الفئة في نظامنا.,Enregistrement de catégorie introuvable dans notre système.,हमारे सिस्टम में श्रेणी रिकॉर्ड नहीं मिला.
Category status updated successfully!,Category status updated successfully!,¡El estado de la categoría se actualizó exitosamente!,تم تحديث حالة الفئة بنجاح!,Statut de la catégorie mis à jour avec succès !,श्रेणी स्थिति सफलतापूर्वक अपडेट की गई!
Category deleted successfully!,Category deleted successfully!,¡Categoría eliminada exitosamente!,تم حذف الفئة بنجاح!,Catégorie supprimée avec succès !,श्रेणी सफलतापूर्वक हटा दी गई!
Bill Pay details for,Bill Pay details for,Detalles de pago de facturas para,تفاصيل دفع الفاتورة ل,Détails du paiement de la facture pour,बिल भुगतान विवरण के लिए
Bill Pay request approved successfully,Bill Pay request approved successfully,Solicitud de pago de facturas aprobada exitosamente,تمت الموافقة على طلب دفع الفاتورة بنجاح,Demande de paiement de factures approuvée avec succès,बिल भुगतान अनुरोध सफलतापूर्वक स्वीकृत हो गया
Bill Pay request rejected successfully,Bill Pay request rejected successfully,Solicitud de pago de facturas rechazada correctamente,تم رفض طلب دفع الفاتورة بنجاح,Demande de paiement de facture rejetée avec succès,बिल भुगतान अनुरोध सफलतापूर्वक अस्वीकार कर दिया गया
Default Template,Default Template,Plantilla predeterminada,القالب الافتراضي,Modèle par défaut,डिफ़ॉल्ट टेम्पलेट
Basic settings not found!,Basic settings not found!,¡No se encontraron configuraciones básicas!,لم يتم العثور على الإعدادات الأساسية!,Paramètres de base introuvables !,बुनियादी सेटिंग्स नहीं मिलीं!
Invalid KYC or KYC not found!,Invalid KYC or KYC not found!,¡KYC no válido o KYC no encontrado!,لم يتم العثور على KYC غير صالح أو KYC!,KYC invalide ou KYC introuvable !,अमान्य केवाईसी या केवाईसी नहीं मिला!
KYC status updated successfully!,KYC status updated successfully!,¡El estado KYC se actualizó exitosamente!,تم تحديث حالة KYC بنجاح!,Statut KYC mis à jour avec succès !,केवाईसी स्थिति सफलतापूर्वक अपडेट की गई!
Mobile Topup details for,Mobile Topup details for,Detalles de recarga móvil para,تفاصيل اشحن رصيدك المحمول ل,Détails de la recharge mobile pour,मोबाइल टॉपअप विवरण के लिए
Mobile topup request rejected successfully,Mobile topup request rejected successfully,Solicitud de recarga móvil rechazada con éxito,تم رفض طلب تعبئة رصيد الهاتف المحمول بنجاح,Demande de recharge mobile rejetée avec succès,मोबाइल टॉपअप अनुरोध सफलतापूर्वक अस्वीकार कर दिया गया
Page not found!,Page not found!,¡Página no encontrada!,لم يتم العثور على الصفحة!,Page introuvable !,पृष्ठ नहीं मिला!
Setup Page status updated successfully!,Setup Page status updated successfully!,¡El estado de la página de configuración se actualizó exitosamente!,تم تحديث حالة صفحة الإعداد بنجاح!,L'état de la page de configuration a été mis à jour avec succès !,सेटअप पृष्ठ स्थिति सफलतापूर्वक अपडेट की गई!
Section updated successfully!,Section updated successfully!,¡Sección actualizada exitosamente!,تم تحديث القسم بنجاح!,Section mise à jour avec succès !,अनुभाग सफलतापूर्वक अपडेट किया गया!
Merchant App Section,Merchant App Section,Sección de aplicaciones comerciales,قسم تطبيقات التاجر,Section des applications marchandes,मर्चेंट ऐप अनुभाग
Section item added successfully,Section item added successfully,Elemento de sección agregado exitosamente,تمت إضافة عنصر القسم بنجاح,Élément de section ajouté avec succès,अनुभाग आइटम सफलतापूर्वक जोड़ा गया
Section not found!,Section not found!,¡Sección no encontrada!,لم يتم العثور على القسم!,Section introuvable !,अनुभाग नहीं मिला!
Section item not found!,Section item not found!,¡Artículo de sección no encontrado!,لم يتم العثور على عنصر القسم!,Élément de section introuvable !,अनुभाग आइटम नहीं मिला!
Section item delete successfully!,Section item delete successfully!,¡Eliminación del elemento de sección exitosamente!,تم حذف عنصر القسم بنجاح!,L'élément de section a été supprimé avec succès !,अनुभाग आइटम सफलतापूर्वक हटा दिया गया!
Developer Introduction,Developer Introduction,Introducción del desarrollador,مقدمة المطور,Présentation du développeur,डेवलपर परिचय
Banner Floating Section,Banner Floating Section,Sección flotante de banner,قسم العائمة لافتة,Section flottante de bannière,बैनर फ़्लोटिंग अनुभाग
Works Section,Works Section,Sección de Obras,قسم الأشغال,Section Travaux,कार्य अनुभाग
Item added successfully!,Item added successfully!,¡Artículo agregado exitosamente!,تمت إضافة العنصر بنجاح!,Article ajouté avec succès !,आइटम सफलतापूर्वक जोड़ा गया!
Why Choose Us Section,Why Choose Us Section,Sección Por qué elegirnos,لماذا تختارنا القسم,Section Pourquoi nous choisir,हमें अनुभाग क्यों चुनें
Item delete successfully!,Item delete successfully!,¡El artículo se eliminó correctamente!,تم حذف العنصر بنجاح!,Article supprimé avec succès !,आइटम सफलतापूर्वक हटा दिया गया!
Developer FAQ Section,Developer FAQ Section,Sección de preguntas frecuentes para desarrolladores,قسم الأسئلة الشائعة للمطورين,Section FAQ des développeurs,डेवलपर FAQ अनुभाग
Testimonial Section,Testimonial Section,Sección de testimonios,قسم الشهادات,Section témoignage,प्रशंसापत्र अनुभाग
Setup Blog Category,Setup Blog Category,Configurar categoría de blog,فئة مدونة الإعداد,Catégorie de blog de configuration,सेटअप ब्लॉग श्रेणी
Blog item added successfully!,Blog item added successfully!,¡El artículo del blog se agregó correctamente!,تمت إضافة عنصر المدونة بنجاح!,Article de blog ajouté avec succès !,ब्लॉग आइटम सफलतापूर्वक जोड़ा गया!
Blog item updated successfully!,Blog item updated successfully!,¡El artículo del blog se actualizó correctamente!,تم تحديث عنصر المدونة بنجاح!,Article de blog mis à jour avec succès !,ब्लॉग आइटम सफलतापूर्वक अपडेट किया गया!
BLog delete successfully!,BLog delete successfully!,¡BLog se eliminó correctamente!,تم حذف المدونة بنجاح!,BLog supprimé avec succès !,ब्लॉग सफलतापूर्वक हटा दिया गया!
Blog record not found in our system.,Blog record not found in our system.,Registro de blog no encontrado en nuestro sistema.,لم يتم العثور على سجل المدونة في نظامنا.,Enregistrement de blog introuvable dans notre système.,हमारे सिस्टम में ब्लॉग रिकॉर्ड नहीं मिला.
Blog status updated successfully!,Blog status updated successfully!,¡El estado del blog se actualizó exitosamente!,تم تحديث حالة المدونة بنجاح!,Statut du blog mis à jour avec succès !,ब्लॉग स्थिति सफलतापूर्वक अपडेट की गई!
All Ticket,All Ticket,Todos los boletos,جميع التذاكر,Tous les billets,सभी टिकट
Pending Ticket,Pending Ticket,Boleto pendiente,تذكرة معلقة,Billet en attente,लंबित टिकट
Active Ticket,Active Ticket,Boleto Activo,تذكرة نشطة,Billet actif,सक्रिय टिकट
Solved Ticket,Solved Ticket,Boleto resuelto,تذكرة محلولة,Billet résolu,हल टिकट
Support Chat,Support Chat,Chat de soporte,دعم الدردشة,Chat d'assistance,समर्थन चैट
This support ticket is closed.,This support ticket is closed.,Este ticket de soporte está cerrado.,تم إغلاق تذكرة الدعم هذه.,Ce ticket d'assistance est fermé.,यह समर्थन टिकट बंद है.
Failed to change status to active!,Failed to change status to active!,¡No se pudo cambiar el estado a activo!,فشل تغيير الحالة إلى نشطة!,Échec du changement d'état en actif !,स्थिति को सक्रिय में बदलने में विफल!
This ticket is already solved!,This ticket is already solved!,¡Este ticket ya está solucionado!,تم حل هذه التذكرة بالفعل!,Ce ticket est déjà résolu !,यह टिकट पहले ही हल हो चुका है!
Transaction charge not found!,Transaction charge not found!,¡Cargo de transacción no encontrado!,لم يتم العثور على رسوم المعاملة!,Frais de transaction introuvables !,लेनदेन शुल्क नहीं मिला!
Charge Updated Successfully!,Charge Updated Successfully!,¡Carga actualizada exitosamente!,تم تحديث الشحن بنجاح!,Charge mise à jour avec succès !,चार्ज सफलतापूर्वक अपडेट किया गया!
Page added successfully!,Page added successfully!,¡Página agregada exitosamente!,تمت إضافة الصفحة بنجاح!,Page ajoutée avec succès !,पेज सफलतापूर्वक जोड़ा गया!
Page updated successfully!,Page updated successfully!,¡Página actualizada exitosamente!,تم تحديث الصفحة بنجاح!,Page mise à jour avec succès !,पेज सफलतापूर्वक अपडेट किया गया!
Page record not found in our system.,Page record not found in our system.,Registro de página no encontrado en nuestro sistema.,سجل الصفحة غير موجود في نظامنا.,Enregistrement de page introuvable dans notre système.,हमारे सिस्टम में पेज रिकॉर्ड नहीं मिला.
Page status updated successfully!,Page status updated successfully!,¡El estado de la página se actualizó exitosamente!,تم تحديث حالة الصفحة بنجاح!,Statut de la page mis à jour avec succès !,पृष्ठ स्थिति सफलतापूर्वक अपडेट की गई!
Page deleted successfully!,Page deleted successfully!,¡Página eliminada exitosamente!,تم حذف الصفحة بنجاح!,Page supprimée avec succès !,पेज सफलतापूर्वक हटा दिया गया!
Email Unverified Users,Email Unverified Users,Enviar correo electrónico a usuarios no verificados,إرسال بريد إلكتروني للمستخدمين الذين لم يتم التحقق منهم,Envoyer un e-mail aux utilisateurs non vérifiés,असत्यापित उपयोगकर्ताओं को ईमेल करें
SMS Unverified Users,SMS Unverified Users,Usuarios no verificados de SMS,المستخدمين الذين لم يتم التحقق من الرسائل النصية القصيرة,Utilisateurs SMS non vérifiés,एसएमएस असत्यापित उपयोगकर्ता
KYC Unverified Users,KYC Unverified Users,Usuarios no verificados de KYC,KYC المستخدمين الذين لم يتم التحقق منهم,Utilisateurs non vérifiés KYC,केवाईसी असत्यापित उपयोगकर्ता
User Details,User Details,Detalles del usuario,تفاصيل المستخدم,Détails de l'utilisateur,उपयोगकर्ता विवरण
Ops! User doesn,Ops! User doesn,¡Ops! El usuario no,العمليات! المستخدم لا,Opérations ! L'utilisateur ne,ऑप्स! उपयोगकर्ता नहीं करता
User Email Logs,User Email Logs,Registros de correo electrónico del usuario,سجلات البريد الإلكتروني للمستخدم,Journaux de courrier électronique des utilisateurs,उपयोगकर्ता ईमेल लॉग
User KYC successfully approved,User KYC successfully approved,Usuario KYC aprobado exitosamente,تمت الموافقة على KYC للمستخدم بنجاح,L'utilisateur KYC a été approuvé avec succès,उपयोगकर्ता केवाईसी सफलतापूर्वक स्वीकृत
User KYC information not found,User KYC information not found,Información KYC del usuario no encontrada,لم يتم العثور على معلومات KYC الخاصة بالمستخدم,Informations KYC de l'utilisateur introuvables,उपयोगकर्ता केवाईसी जानकारी नहीं मिली
User KYC information is rejected,User KYC information is rejected,La información KYC del usuario es rechazada,تم رفض معلومات KYC الخاصة بالمستخدم,Les informations KYC de l'utilisateur sont rejetées,उपयोगकर्ता केवाईसी जानकारी अस्वीकार कर दी गई है
User do not have sufficient balance,User do not have sufficient balance,El usuario no tiene saldo suficiente,المستخدم ليس لديه رصيد كافي,L'utilisateur n'a pas de solde suffisant,उपयोगकर्ता के पास पर्याप्त बैलेंस नहीं है
Setup Virtual Card Api,Setup Virtual Card Api,Configurar API de tarjeta virtual,إعداد API للبطاقة الافتراضية,Configurer l'API de la carte virtuelle,वर्चुअल कार्ड एपीआई सेटअप करें
Ops! Failed To Upload Image.,Ops! Failed To Upload Image.,¡Ops! No se pudo cargar la imagen.,العمليات! فشل تحميل الصورة.,Opérations ! Échec du téléchargement de l'image.,ऑप्स! छवि अपलोड करने में विफल.
Card API Has Been Updated.,Card API Has Been Updated.,La API de la tarjeta se ha actualizado.,تم تحديث واجهة برمجة تطبيقات البطاقة.,L'API de la carte a été mise à jour.,कार्ड एपीआई अपडेट कर दिया गया है.
Basic settings updated successfully!,Basic settings updated successfully!,¡La configuración básica se actualizó correctamente!,تم تحديث الإعدادات الأساسية بنجاح!,Paramètres de base mis à jour avec succès !,बुनियादी सेटिंग्स सफलतापूर्वक अपडेट की गईं!
Please setup KYC field first. Go to [Setup KYC] page from sidebar,Please setup KYC field first. Go to [Setup KYC] page from sidebar,Primero configure el campo KYC. Vaya a la página [Configurar KYC] desde la barra lateral,يرجى إعداد حقل KYC أولاً. انتقل إلى صفحة [Setup KYC] من الشريط الجانبي,Veuillez d'abord configurer le champ KYC. Accédez à la page [Configurer KYC] dans la barre latérale,कृपया पहले केवाईसी फ़ील्ड सेटअप करें। साइडबार से [सेटअप केवाईसी] पेज पर जाएं
Basic settings status updated successfully!,Basic settings status updated successfully!,¡El estado de la configuración básica se actualizó correctamente!,تم تحديث حالة الإعدادات الأساسية بنجاح!,L'état des paramètres de base a été mis à jour avec succès !,बुनियादी सेटिंग्स स्थिति सफलतापूर्वक अपडेट की गई!
Basic setting not found! Please run database seeder,Basic setting not found! Please run database seeder,¡Configuración básica no encontrada! Ejecute el sembrador de base de datos.,لم يتم العثور على الإعداد الأساسي! الرجاء تشغيل بذارة قاعدة البيانات,Paramètre de base introuvable ! Veuillez exécuter le semoir de base de données,मूल सेटिंग नहीं मिली! कृपया डेटाबेस सीडर चलाएँ
No changes to update.,No changes to update.,No hay cambios para actualizar.,لا توجد تغييرات للتحديث.,Aucune modification à mettre à jour.,अद्यतन करने के लिए कोई परिवर्तन नहीं.
Image assets updated successfully!.,Image assets updated successfully!.,Recursos de imagen actualizados exitosamente.,تم تحديث أصول الصورة بنجاح!.,Les éléments d'image ont été mis à jour avec succès !.,छवि परिसंपत्तियाँ सफलतापूर्वक अपडेट की गईं!
SEO information updated successfully!,SEO information updated successfully!,¡Información SEO actualizada con éxito!,تم تحديث معلومات تحسين محركات البحث (SEO) بنجاح!,Informations SEO mises à jour avec succès !,एसईओ जानकारी सफलतापूर्वक अपडेट की गई!
Admin | Login,Admin | Login,Administrador | Acceso,المشرف | تسجيل الدخول,Administrateur | Se connecter,एडमिन | लॉग इन करें
sub-title,sub-title,subtitular,العنوان الفرعي,sous-titre,उपशीर्षक
Enter your account email address or username,Enter your account email address or username,Ingrese la dirección de correo electrónico o el nombre de usuario de su cuenta,أدخل عنوان البريد الإلكتروني الخاص بحسابك أو اسم المستخدم,Entrez l'adresse e-mail ou le nom d'utilisateur de votre compte,अपना खाता ईमेल पता या उपयोगकर्ता नाम दर्ज करें
Username OR Email Address,Username OR Email Address,Nombre de usuario O dirección de correo electrónico,اسم المستخدم أو عنوان البريد الإلكتروني,Nom d'utilisateur OU adresse e-mail,उपयोगकर्ता का नाम या ईमेल पता
Reset,Reset,Reiniciar,إعادة ضبط,Réinitialiser,रीसेट करें
Welcome To,Welcome To,Bienvenido a,مرحبا بكم في,Bienvenue à,आपका स्वागत है
Admin Panel,Admin Panel,Panel de administración,لوحة الإدارة,Panneau d'administration,व्यवस्थापक पैनल
Username,Username,Nombre de usuario,اسم المستخدم,Nom d'utilisateur,उपयोगकर्ता नाम
Role,Role,Role,دور,Rôle,भूमिका
options,options,opciones,خيارات,choix,विकल्प
Created Time,Created Time,Hora de creación,وقت الإنشاء,Temps de création,निर्मित समय
Category Name,Category Name,Nombre de categoría,اسم الفئة,Nom de la catégorie,श्रेणी नाम
Flag,Flag,Bandera,علَم,Drapeau,झंडा
Name | Code,Name | Code,Nombre | Código,الاسم | شفرة,Nom | Code,नाम | कोड
Rate,Rate,Tasa,معدل,Taux,दर
Symbol,Symbol,Símbolo,رمز,Symbole,प्रतीक
Receiver,Receiver,Receptor,المتلقي,Récepteur,रिसीवर
SL NO,SL NO,SL NO,رقم SL,SL NON,एसएल नं
TXN Type,TXN Type,Tipo TXN,نوع تي اكس ان,Type de NTX,टीएक्सएन प्रकार
TXN Hash,TXN Hash,Hash TXN,TXN التجزئة,Hachage TXN,टीएक्सएन हैश
Asset,Asset,Activo,أصل,Actif,संपत्ति
Chain,Chain,Cadena,سلسلة,Chaîne,जंजीर
Block Number,Block Number,Número de bloque,رقم الكتلة,Numéro de bloc,ब्लॉक संख्या
Not Used,Not Used,No usado,غير مستخدم,Non utilisé,उपयोग नहीं किया
Used,Used,Usado,مستخدم,Utilisé,इस्तेमाल किया गया
Add Language,Add Language,Agregar idioma,إضافة لغة,Ajouter une langue,भाषा जोड़ें
Edit Language,Edit Language,Editar idioma,تحرير اللغة,Modifier la langue,भाषा संपादित करें
Add About,Add About,Agregar Acerca de,أضف حول,Ajouter à propos,के बारे में जोड़ें
Add Blog,Add Blog,Agregar blog,أضف مدونة,Ajouter un blog,ब्लॉग जोड़ें
Add Brand,Add Brand,Agregar marca,أضف علامة تجارية,Ajouter une marque,ब्रांड जोड़ें
Add Socail Icon,Add Socail Icon,Agregar icono de red social,إضافة أيقونة Socail,Ajouter une icône Socail,सोकेल आइकन जोड़ें
Add Solution,Add Solution,Agregar solución,أضف الحل,Ajouter une solution,समाधान जोड़ें
Add Testimonial,Add Testimonial,Agregar testimonio,أضف شهادة,Ajouter un témoignage,प्रशंसापत्र जोड़ें
